,Date,PARK
1,2014/1/2,51
2,2014/1/3,51
3,2014/1/6,54
4,2014/1/7,55
5,2014/1/8,65
6,2014/1/9,68
7,2014/1/10,85
8,2014/1/13,84
9,2014/1/14,90
10,2014/1/15,86
11,2014/1/16,85
12,2014/1/17,82
13,2014/1/20,79
14,2014/1/21,81
15,2014/1/22,87
16,2014/1/23,87
17,2014/1/24,88
18,2014/1/27,87
19,2014/1/28,79
20,2014/1/29,88
21,2014/1/30,88
22,2014/1/31,87
23,2014/2/3,89
24,2014/2/5,88
25,2014/2/6,89
26,2014/2/7,91
27,2014/2/10,88
28,2014/2/11,90
29,2014/2/12,90
30,2014/2/13,90
31,2014/2/14,91
32,2014/2/17,89
33,2014/2/18,91
34,2014/2/19,94
35,2014/2/20,91
36,2014/2/21,93
37,2014/2/24,88
38,2014/2/25,88
39,2014/2/26,85
40,2014/2/27,87
41,2014/2/28,89
42,2014/3/3,89
43,2014/3/4,88
44,2014/3/5,86
45,2014/3/6,89
46,2014/3/7,91
47,2014/3/10,90
48,2014/3/11,87
49,2014/3/12,88
50,2014/3/13,89
51,2014/3/14,92
52,2014/3/17,88
53,2014/3/18,87
54,2014/3/19,88
55,2014/3/20,86
56,2014/3/21,90
57,2014/3/24,87
58,2014/3/25,82
59,2014/3/26,78
60,2014/3/27,69
61,2014/3/28,60
62,2014/3/31,55
63,2014/4/1,50
64,2014/4/2,45
65,2014/4/3,42
66,2014/4/4,37
67,2014/4/7,31
68,2014/4/8,29
69,2014/4/9,68
70,2014/4/10,66
71,2014/4/11,65
72,2014/4/14,67
73,2014/4/15,67
74,2014/4/16,73
75,2014/4/17,74
76,2014/4/18,77
77,2014/4/21,76
78,2014/4/22,77
79,2014/4/23,89
80,2014/4/24,91
81,2014/4/25,98
82,2014/4/28,102
83,2014/4/29,101
84,2014/4/30,103
85,2014/5/1,104
86,2014/5/2,101
87,2014/5/5,104
88,2014/5/6,102
89,2014/5/7,96
90,2014/5/8,98
91,2014/5/9,99
92,2014/5/12,102
93,2014/5/13,102
94,2014/5/14,99
95,2014/5/15,97
96,2014/5/16,95
97,2014/5/19,95
98,2014/5/20,95
99,2014/5/21,98
100,2014/5/22,96
101,2014/5/23,100
102,2014/5/26,102
103,2014/5/27,102
104,2014/5/28,102
105,2014/5/29,101
106,2014/5/30,102
107,2014/6/2,100
108,2014/6/3,98
109,2014/6/4,97
110,2014/6/5,101
111,2014/6/6,99
112,2014/6/9,102
113,2014/6/10,99
114,2014/6/11,93
115,2014/6/12,94
116,2014/6/13,97
117,2014/6/16,99
118,2014/6/17,95
119,2014/6/18,97
120,2014/6/19,97
121,2014/6/20,97
122,2014/6/23,98
123,2014/6/24,101
124,2014/6/25,99
125,2014/6/26,101
126,2014/6/27,95
127,2014/6/30,87
128,2014/7/1,83
129,2014/7/2,70
130,2014/7/3,62
131,2014/7/4,61
132,2014/7/7,46
133,2014/7/8,44
134,2014/7/9,42
135,2014/7/10,39
136,2014/7/11,35
137,2014/7/14,49
138,2014/7/15,51
139,2014/7/16,53
140,2014/7/17,53
141,2014/7/18,58
142,2014/7/21,60
143,2014/7/22,56
144,2014/7/23,65
145,2014/7/24,70
146,2014/7/25,70
147,2014/7/28,72
148,2014/7/29,78
149,2014/7/30,76
150,2014/7/31,85
151,2014/8/1,85
152,2014/8/4,88
153,2014/8/5,88
154,2014/8/6,88
155,2014/8/7,87
156,2014/8/8,87
157,2014/8/11,88
158,2014/8/12,88
159,2014/8/13,88
160,2014/8/14,87
161,2014/8/15,85
162,2014/8/18,87
163,2014/8/19,85
164,2014/8/20,89
165,2014/8/21,87
166,2014/8/22,88
167,2014/8/25,81
168,2014/8/26,86
169,2014/8/27,83
170,2014/8/28,87
171,2014/8/29,88
172,2014/9/1,91
173,2014/9/2,88
174,2014/9/3,88
175,2014/9/4,88
176,2014/9/5,88
177,2014/9/8,90
178,2014/9/9,88
179,2014/9/10,89
180,2014/9/11,88
181,2014/9/12,87
182,2014/9/15,87
183,2014/9/16,84
184,2014/9/17,88
185,2014/9/18,85
186,2014/9/19,81
187,2014/9/22,85
188,2014/9/23,87
189,2014/9/24,87
190,2014/9/25,87
191,2014/9/26,85
192,2014/9/29,85
193,2014/9/30,84
194,2014/10/1,77
195,2014/10/2,73
196,2014/10/3,62
197,2014/10/6,54
198,2014/10/7,50
199,2014/10/8,46
200,2014/10/9,41
201,2014/10/10,35
202,2014/10/13,34
203,2014/10/14,30
204,2014/10/15,28
205,2014/10/16,43
206,2014/10/17,42
207,2014/10/20,41
208,2014/10/21,45
209,2014/10/22,49
210,2014/10/23,50
211,2014/10/24,47
212,2014/10/27,54
213,2014/10/28,55
214,2014/10/29,67
215,2014/10/30,66
216,2014/10/31,68
217,2014/11/3,72
218,2014/11/4,75
219,2014/11/5,76
220,2014/11/6,82
221,2014/11/7,83
222,2014/11/10,79
223,2014/11/11,79
224,2014/11/12,81
225,2014/11/13,83
226,2014/11/14,84
227,2014/11/17,82
228,2014/11/18,81
229,2014/11/19,81
230,2014/11/20,75
231,2014/11/21,74
232,2014/11/24,75
233,2014/11/25,81
234,2014/11/26,81
235,2014/11/27,80
236,2014/11/28,82
237,2014/12/1,82
238,2014/12/2,85
239,2014/12/3,82
240,2014/12/4,84
241,2014/12/5,83
242,2014/12/8,80
243,2014/12/9,82
244,2014/12/10,81
245,2014/12/11,79
246,2014/12/12,79
247,2014/12/15,84
248,2014/12/16,82
249,2014/12/17,76
250,2014/12/18,73
251,2014/12/19,69
252,2014/12/22,70
253,2014/12/23,73
254,2014/12/24,74
255,2014/12/25,73
256,2014/12/26,75
257,2014/12/29,75
258,2014/12/30,74
259,2014/12/31,73
260,2015/1/1,77
261,2015/1/2,79
262,2015/1/5,73
263,2015/1/6,67
264,2015/1/7,56
265,2015/1/8,52
266,2015/1/9,38
267,2015/1/12,32
268,2015/1/13,29
269,2015/1/14,27
270,2015/1/15,26
271,2015/1/16,22
272,2015/1/19,21
273,2015/1/20,50
274,2015/1/21,51
275,2015/1/22,52
276,2015/1/23,55
277,2015/1/26,58
278,2015/1/27,61
279,2015/1/28,57
280,2015/1/29,62
281,2015/1/30,66
282,2015/2/2,75
283,2015/2/3,87
284,2015/2/4,89
285,2015/2/5,84
286,2015/2/6,88
287,2015/2/9,89
288,2015/2/10,89
289,2015/2/11,89
290,2015/2/12,92
291,2015/2/13,88
292,2015/2/16,88
293,2015/2/17,92
294,2015/2/18,89
295,2015/2/19,91
296,2015/2/20,89
297,2015/2/23,89
298,2015/2/24,88
299,2015/2/25,87
300,2015/2/26,84
301,2015/2/27,82
302,2015/3/2,85
303,2015/3/3,87
304,2015/3/4,81
305,2015/3/5,81
306,2015/3/6,87
307,2015/3/9,88
308,2015/3/10,86
309,2015/3/11,92
310,2015/3/12,91
311,2015/3/13,87
312,2015/3/16,85
313,2015/3/17,86
314,2015/3/18,87
315,2015/3/19,88
316,2015/3/20,85
317,2015/3/23,80
318,2015/3/24,81
319,2015/3/25,87
320,2015/3/26,81
321,2015/3/27,80
322,2015/3/30,83
323,2015/3/31,80
324,2015/4/1,85
325,2015/4/2,83
326,2015/4/3,82
327,2015/4/6,81
328,2015/4/7,82
329,2015/4/8,73
330,2015/4/9,65
331,2015/4/10,61
332,2015/4/13,47
333,2015/4/14,41
334,2015/4/15,35
335,2015/4/16,33
336,2015/4/17,32
337,2015/4/20,27
338,2015/4/21,23
339,2015/4/22,22
340,2015/4/23,21
341,2015/4/24,52
342,2015/4/27,51
343,2015/4/28,53
344,2015/4/29,54
345,2015/4/30,55
346,2015/5/1,58
347,2015/5/2,57
348,2015/5/3,60
349,2015/5/4,65
350,2015/5/5,66
351,2015/5/6,70
352,2015/5/7,73
353,2015/5/8,74
354,2015/5/9,74
355,2015/5/10,83
356,2015/5/11,86
357,2015/5/12,86
358,2015/5/13,82
359,2015/5/14,84
360,2015/5/15,83
361,2015/5/16,81
362,2015/5/17,81
363,2015/5/18,82
364,2015/5/19,81
365,2015/5/20,82
366,2015/5/21,83
367,2015/5/22,81
368,2015/5/23,75
369,2015/5/24,72
370,2015/5/25,77
371,2015/5/26,74
372,2015/5/27,76
373,2015/5/28,75
374,2015/5/29,81
375,2015/5/30,81
376,2015/5/31,80
377,2015/6/1,78
378,2015/6/2,74
379,2015/6/3,74
380,2015/6/4,78
381,2015/6/5,76
382,2015/6/6,74
383,2015/6/7,69
384,2015/6/8,74
385,2015/6/9,78
386,2015/6/10,77
387,2015/6/11,80
388,2015/6/12,79
389,2015/6/13,81
390,2015/6/14,77
391,2015/6/15,77
392,2015/6/16,79
393,2015/6/17,78
394,2015/6/18,76
395,2015/6/19,78
396,2015/6/20,75
397,2015/6/21,77
398,2015/6/22,72
399,2015/6/23,61
400,2015/6/24,56
401,2015/6/25,45
402,2015/6/26,36
403,2015/6/27,31
404,2015/6/28,26
405,2015/6/29,21
406,2015/6/30,14
407,2015/7/1,12
408,2015/7/2,10
409,2015/7/3,51
410,2015/7/4,52
411,2015/7/5,55
412,2015/7/6,55
413,2015/7/7,58
414,2015/7/8,59
415,2015/7/9,67
416,2015/7/10,63
417,2015/7/11,65
418,2015/7/12,77
419,2015/7/13,80
420,2015/7/14,78
421,2015/7/15,85
422,2015/7/16,87
423,2015/7/17,90
424,2015/7/18,88
425,2015/7/19,86
426,2015/7/20,86
427,2015/7/21,85
428,2015/7/22,87
429,2015/7/23,86
430,2015/7/24,83
431,2015/7/25,87
432,2015/7/26,85
433,2015/7/27,86
434,2015/7/28,82
435,2015/7/29,84
436,2015/7/30,82
437,2015/7/31,86
438,2015/8/1,85
439,2015/8/2,87
440,2015/8/3,85
441,2015/8/4,86
442,2015/8/5,89
443,2015/8/6,90
444,2015/8/7,88
445,2015/8/8,87
446,2015/8/9,87
447,2015/8/10,82
448,2015/8/11,90
449,2015/8/12,89
450,2015/8/13,88
451,2015/8/14,88
452,2015/8/15,88
453,2015/8/16,84
454,2015/8/17,84
455,2015/8/18,76
456,2015/8/19,82
457,2015/8/20,81
458,2015/8/21,84
459,2015/8/22,86
460,2015/8/23,84
461,2015/8/24,85
462,2015/8/25,86
463,2015/8/26,86
464,2015/8/27,85
465,2015/8/28,77
466,2015/8/29,63
467,2015/8/30,53
468,2015/8/31,45
469,2015/9/1,42
470,2015/9/2,37
471,2015/9/3,34
472,2015/9/4,29
473,2015/9/5,25
